TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
170,"(28.852945704593157, 28.579259943753136)","(32.05367336624854, 73.78058533144497)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (51.76941189701522, 70.28594280100704), (66.07565226121952, 63.742886905269074), (7.028834493374029, 76.3866467419527), (7.008905708988208, 73.18664626915195), (16.863408231168762, 87.37337333137457), (16.794535967712154, 96.892141193384), (16.761567849006177, 104.38582632179374), (85.76843210805724, 36.82333350170986), (13.564855318001891, 103.4273413634559), (16.73549658618821, 111.89062554725166), (13.53334768456678, 112.49253761178662), (19.235146706249978, 32.06188367980217), (3.4525076130633154, 30.296487506777996)]"
171,"(26.15529849435004, 28.908530921930378)","(27.62447523627826, 72.81210554434098)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (57.6018928383031, 67.61841815175265), (67.85242208607986, 62.93026919565684), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (16.876318091554218, 83.52254640496984), (16.81000494703942, 94.88310750325557), (16.761567849006177, 104.38582632179374), (13.564855318001891, 103.4273413634559), (16.73549658618821, 111.89062554725166), (13.53334768456678, 112.49253761178662), (27.401366918495803, 33.39867185106882), (8.165429549968888, 30.29291841433022), (-1.1864607911172795, 30.302921582234557)]"
172,"(26.170479190895417, 28.268374420619182)","(29.07599206726582, 71.86260299179432)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (60.975612199172886, 66.07542475916735), (68.39076904676662, 62.684052568129204), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (16.896911767309657, 77.37974712249094), (16.83474363219966, 91.67017076806914), (16.76780922857382, 102.58920063196429), (13.57205783679648, 101.35507381312712), (16.73549658618821, 111.89062554725166), (13.53334768456678, 112.49253761178662), (37.10282965298645, 33.58124002647663), (14.572580892800477, 30.88399976653223), (0.5068350155393855, 30.300573044361247)]"
173,"(26.052069747528193, 27.44256251886499)","(30.627342836383377, 70.7737650538905)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (61.30845447451796, 65.9231970909187), (68.43950989075576, 62.66176061311464), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (16.92596171603163, 68.7145624179935), (16.867415787107035, 86.17797664578697), (16.76780922857382, 102.58920063196429), (13.58, 99.0105015832115), (16.741207849184633, 110.24659769899526), (13.53334768456678, 112.49253761178662), (48.2497345268577, 33.63790319725598), (22.216293523032416, 32.82084536939587), (4.52952039903606, 30.294993730375815)]"
174,"(26.483322668673715, 26.96362698798218)","(32.475797595278664, 69.32764823923205)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (61.59280909098793, 65.79314558175845), (68.4399916494479, 62.661540277514874), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (16.93, 58.645343473338556), (16.893510873597684, 78.39418513257607), (16.76780922857382, 102.58920063196429), (16.81175126106011, 94.65630496981838), (16.741725691051943, 110.09753321861892), (13.53334768456678, 112.49253761178662), (61.149993133087605, 33.70347920824501), (31.510706504853445, 33.552813532077764), (6.514431345865826, 30.292240733223487)]"
175,"(27.703801832527574, 26.629616721099207)","(34.12698564916047, 67.8019450773253)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (61.61647199410262, 65.78232319280137), (68.44009224242335, 62.66149427063646), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (16.93, 52.04188800348576), (16.924554374177553, 69.13435238818116), (16.76883606329164, 102.29361892390685), (16.930515375651186, 87.91206245391972), (16.741737554190166, 110.09411832954547), (13.53334768456678, 112.49253761178662), (73.91106322947962, 33.67890563174973), (42.76720443759115, 33.61003379832721), (7.090074315846038, 30.291442337980794)]"
176,"(29.59993254517867, 26.38478597905519)","(36.11534210795817, 66.29620148792308)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (61.61850881259271, 65.78139164007398), (68.44009224242335, 62.66149427063646), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (17.258351429631162, 46.41616466060483), (16.93, 61.84153278204102), (16.775109192613872, 100.48785384043578), (19.320689725966254, 80.32096479522247), (16.74264491667656, 109.83292755667614), (13.53334768456678, 112.49253761178662), (87.34738100342146, 33.60110035027177), (56.3863523936096, 33.679264146592764), (7.126766751783905, 30.291391446946207)]"
177,"(27.72699486435047, 25.738675757784527)","(34.212365448873115, 67.00553270650363)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (61.61850881259271, 65.78139164007398), (68.44009224242335, 62.66149427063646), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (20.34601838985595, 39.45811670391561), (16.93, 55.37304495158257), (16.798090315562558, 96.43052026631301), (27.45620992680017, 76.52054143902855), (16.747848547081716, 108.33502537576373), (13.53334768456678, 112.49253761178662), (69.7239335181594, 33.69699692670982), (7.128179381094141, 30.291389487682252)]"
178,"(28.303111486365413, 27.424026326820513)","(35.17290488255631, 68.84233253523419)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (61.61850881259271, 65.78139164007398), (68.44009224242335, 62.66149427063646), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (28.982930569310916, 36.7400657300897), (16.955895906011555, 48.529093388989686), (16.843233140077544, 90.56759593242882), (37.20616522396343, 76.31), (16.761312437297196, 104.4593484065936), (16.73334768456678, 112.50920222827709), (13.52772591857001, 114.11), (83.14517274935818, 33.63900789498597), (7.128301088086144, 30.291389318879215)]"
179,"(26.213901253195477, 25.775137692244382)","(33.193532420517776, 69.79185825450244)","[(73.13294240658551, 49.98100199928847), (73.08005566253112, 57.482105197668766), (61.61850881259271, 65.78139164007398), (68.44009224242335, 62.66149427063646), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (39.68129068918388, 36.79444880892554), (17.544579882711748, 44.416596875703846), (16.876814897241132, 83.37435636578753), (46.12151614872313, 72.86904616244922), (16.779557352895463, 99.20741913080624), (16.734394683323377, 112.2078161576279), (13.533510623981082, 112.44565761458594), (7.128301088086144, 30.291389318879215)]"
180,"(26.721061422685146, 24.868459824665802)","(34.65805146366961, 67.68516853722261)","[(73.2147647493968, 48.47845313946308), (73.08005566253112, 57.482105197668766), (61.61850881259271, 65.78139164007398), (68.44009224242335, 62.66149427063646), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (51.02542269151597, 36.85211454629972), (20.63310594199218, 39.2870858217919), (16.90627132966171, 74.58792338090745), (52.012394080897266, 70.17481325401671), (16.83420822604001, 91.73970664305372), (16.735441682079976, 111.90643008697873), (13.54626458718708, 108.77616020074579), (7.128301088086144, 30.291389318879215)]"
181,"(26.56634995091175, 26.20589635475681)","(34.70214683790578, 68.49673959253857)","[(73.82082487573781, 44.41279979192548), (73.08634354636433, 56.590273673992854), (61.61850881259271, 65.78139164007398), (68.44009224242335, 62.66149427063646), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (58.97212532763618, 36.892510097683555), (28.66177228949472, 36.78211080674835), (16.93, 63.80952473569169), (53.926356133605864, 69.29944975009238), (16.875920236443235, 83.64122090093164), (16.73854100554196, 111.01426769042179), (16.7678016951202, 102.59136919040017), (13.52772591857001, 114.11), (7.128301088086144, 30.291389318879215)]"
182,"(27.186514703250364, 25.249713543049868)","(35.92074670856511, 65.91066438103236)","[(76.8695456690187, 39.55148823692537), (73.10382912929374, 54.110235161837004), (61.61850881259271, 65.78139164007398), (69.15798649280477, 62.3331604744822), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (62.44096088229771, 36.91014326345139), (38.7232376798553, 36.78957872867478), (16.93, 55.65167445231957), (54.796284026870275, 68.90158233797112), (16.910279322703747, 73.39239631351064), (16.744437490913207, 109.31692225855588), (16.81365758444766, 94.40872121986001), (13.53628305262244, 111.64799028834328), (7.128301088086144, 30.291389318879215)]"
183,"(28.36115854112018, 24.511736778154837)","(37.20480681583953, 63.72927226303326)","[(84.21733814792181, 36.99704722295926), (73.1343699600519, 49.77852733263963), (62.02503612663095, 65.5954636204699), (70.59466909248103, 61.624957174082006), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.26154405825345, 36.91431454195102), (47.628666981986015, 36.83484778471498), (16.93, 51.38472587158988), (54.79691442234248, 68.9012940223336), (16.93, 64.84100395502257), (16.758581408460625, 105.2454945645487), (17.09070961555435, 86.82630149457607), (13.538081938854063, 111.130425021131), (7.128301088086144, 30.291389318879215)]"
184,"(29.900968475518866, 26.662307323625367)","(35.221473550860985, 63.02861900589831)","[(94.0120621143294, 36.71081807851234), (73.63403197029913, 45.66586886590999), (63.43461332064045, 64.9507839467774), (72.75715400264494, 59.23072969217458), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.32255678607527, 36.91462468854825), (53.47257178086679, 36.86455416324643), (16.93, 50.38797853248982), (55.0215542748384, 68.79855346479559), (16.93, 59.692717850479326), (16.78, 98.86337792930597), (20.654430296732485, 78.88660724106842), (16.741379766489434, 110.19711007482789), (13.52772591857001, 114.11), (8.695541527297555, 30.336584969299633), (-1.1864607911172795, 30.302921582234557)]"
185,"(26.856139572232145, 25.777960596911964)","(33.07463800520849, 62.55538506653149)","[(75.79479807194785, 40.63836109124435), (66.55691875740318, 63.522776414664236), (73.10176248405024, 54.40335434554007), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.367189383990805, 36.91485156987061), (55.775348969451116, 33.67615822689921), (16.93, 49.779098708829935), (56.525587034624564, 68.11067389855225), (16.93, 58.226639896525654), (16.848524460624184, 89.88038567643423), (30.383591497936735, 76.31), (16.751272998218607, 107.34927265564464), (13.536406751804147, 111.61240026663522), (11.758208837701153, 30.588863989925958), (0.8967094386131089, 30.300032303136458)]"
186,"(27.331386057893162, 27.434492660381203)","(34.172582463555294, 64.27383123867779)","[(82.17078918769182, 37.3187585178439), (70.11811243630004, 61.894040373371894), (73.1378110947427, 49.29045972899411), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.375126813779914, 36.91489191828524), (60.12894933379823, 33.69828892629437), (16.93, 49.73966186584852), (59.1244896804055, 66.92204817676767), (16.93, 57.606773378984236), (17.311980509086553, 85.32657654952446), (40.72843803187463, 75.33560695482296), (16.76922951337601, 102.18036150676275), (16.738329337217476, 111.07519792954099), (13.52772591857001, 114.11), (16.509242431197773, 31.372607035393933), (3.395788195429156, 30.296566174486227)]"
187,"(28.423967009097254, 26.36127478024715)","(36.42955701738397, 62.626775450280334)","[(90.20241974165785, 36.76281501717482), (73.03343434924167, 57.85735124487125), (73.76307235957402, 44.8002229211909), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.377927791736646, 36.91490615652394), (62.86621020338592, 33.71220327129651), (16.93, 49.71561691638051), (62.37966353728148, 65.43327237308579), (16.93, 57.29208500840015), (20.102737412037346, 79.21967714752), (48.14485434589787, 71.94365873828565), (16.802461143271906, 95.8628590175615), (16.74293676810095, 109.74891603951293), (13.533063382741052, 112.57433530850335), (22.7369632885587, 32.953401204197284), (7.7188355750719095, 30.290570269660094)]"
188,"(26.507474115938347, 25.844405536023295)","(33.14008050551232, 60.62649375216412)","[(73.10827562156733, 53.47957434103274), (76.8468199326423, 39.56521961853539), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37888737822981, 36.91491103439936), (63.28749246569069, 33.71434477954884), (16.93, 49.71316283928189), (66.83843163620449, 63.39402459346768), (16.93, 57.221355859322315), (27.172499360751175, 76.56107151989269), (53.348541873427365, 69.56371701426906), (16.9860890055552, 87.53539674012588), (16.755615165628765, 106.09934875114914), (13.533063382741052, 112.57433530850335), (30.824226756982075, 33.549323942848254), (14.589997408436286, 30.88839384157796), (-1.1864607911172795, 30.302921582234557)]"
189,"(26.922745079433543, 27.173361662104604)","(34.77214415806828, 62.11638613675115)","[(73.4047811663986, 47.20375967540932), (84.33924764511362, 36.97788341942343), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37888737822981, 36.91491103439936), (63.344655720671625, 33.71463535808305), (16.93, 49.711939086468476), (70.51395421090184, 61.674987059358365), (16.93, 57.21436974305458), (34.802029705965296, 76.31), (58.39457539067068, 67.25587941930588), (19.52891605473397, 79.97666073405831), (16.777188525587533, 99.88930299158942), (16.73874688986959, 110.95500241611207), (13.52772591857001, 114.11), (41.10397281544892, 33.601579076723546), (21.780818210851674, 32.70997894817554), (0.36520581524563145, 30.300769478758326)]"
190,"(27.98602463916894, 26.132933733580963)","(37.7393476819062, 60.46190663466634)","[(75.98719287269492, 40.319390763689995), (92.86294973355301, 36.72650205095241), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37888737822981, 36.91491103439936), (63.39795994987101, 33.714906319993695), (16.93, 49.71140542102109), (73.08285140287825, 57.08557602510144), (16.93, 57.2134104959066), (42.38806929541457, 74.5765633593563), (62.103155641534215, 65.55973513139467), (26.581498116457794, 76.64550026907746), (16.829284685931817, 92.37915141460506), (16.749135565053045, 107.96454805973126), (13.533523773238409, 112.44187438540625), (49.28288172750581, 33.643155004545356), (30.810702397471793, 33.549255194339025), (4.4222763375070135, 30.29514247387308)]"
191,"(26.094323700380443, 27.7827202503597)","(35.94698291365201, 63.15785207137831)","[(83.24386364472095, 37.1500744649397), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37888737822981, 36.91491103439936), (63.39891925098222, 33.714911196418434), (16.93, 49.711022164283776), (73.15022252862128, 48.91142387049886), (16.93, 57.21270139174689), (50.07099454088109, 71.06272547853584), (67.42673233237615, 63.1249612867876), (34.0194206215911, 76.31), (17.203971087466524, 86.05864040717132), (16.7664841753457, 102.97062666834536), (16.73352377323841, 112.45851384637221), (13.52772591857001, 114.11), (54.75126541084507, 33.67095249291025), (39.52589852592481, 33.59355723622328), (5.949893859972781, 30.293023725575626)]"
192,"(27.58887250395926, 26.579245174500944)","(38.25135523837623, 61.315665757380415)","[(91.34510240919073, 36.747218802422324), (7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (17.05145867968891, 47.86149992780706), (73.73467813691097, 44.99070083155556), (16.93, 57.2121940497103), (57.220085396019, 67.79304037063585), (72.60724766819762, 59.56731183932989), (42.211444802206195, 74.65734376722015), (21.105130937453936, 78.61450871595201), (16.805567960947982, 95.45936107188098), (16.738117081611758, 111.13629722175872), (13.535597030414193, 111.84536867797374), (55.8451805828216, 33.676513202623774), (45.82876641970167, 33.62559666635262), (6.750217095807483, 30.29191370721802)]"
193,"(25.644970482376234, 25.71979544510493)","(36.78203492693117, 60.80636325924499)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (17.65321328781201, 43.65090034140992), (76.66956757059641, 39.67231933069504), (16.93, 55.96611945742052), (64.13753328890205, 64.629298739939), (73.10125104010356, 54.475894145311415), (49.016704509349466, 71.54491216287892), (28.966059310257663, 76.31), (17.02235923116856, 87.28956521096865), (16.7502741600826, 107.63679534765211), (13.536709894437566, 111.52518180039193), (55.88737042765531, 33.676727666675454), (47.81100146600458, 36.83577464738438), (6.9967494816600135, 30.291571776030985)]"
194,"(26.522407232155672, 27.61076879769267)","(37.874031057655074, 61.730557387997635)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (21.29500383988465, 38.89276366985595), (84.48193673620186, 36.95545312669554), (16.93, 53.32401804215956), (69.83728277924425, 62.02247971847716), (73.35308155097397, 47.55057792888297), (56.21938286299678, 68.25071844970363), (36.7523529093992, 76.31), (20.42275794801068, 79.02647326011058), (16.769369908524233, 102.13994776052499), (16.736709894437567, 111.54136610118658), (13.52772591857001, 114.11), (55.89339392502544, 33.676758285978664), (51.58375368604291, 36.854952715715555), (7.114006988679805, 30.291409144259806)]"
195,"(27.839733308474695, 26.890942097939533)","(40.49411892142495, 59.6968794906682)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (29.1973054188989, 36.74115546386337), (93.42621109034779, 36.71881422533647), (16.93, 48.953981002869114), (72.93215393486791, 58.65634118048647), (76.25202827539148, 39.92460560668958), (62.329523959253706, 65.45620404858352), (44.30419176504374, 73.7002117741255), (27.59517991970792, 76.50068858289887), (16.81041212643639, 94.83022507907417), (16.74162189813178, 110.12741075206651), (13.535439900521046, 111.89057719294446), (55.896818295791476, 33.676775693116134), (55.002534917207264, 36.87233143985025), (7.124918994249684, 30.29139400971671)]"
196,"(26.318076707139085, 26.284509550607144)","(39.66115926015078, 59.313431584307935)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (39.0738980626529, 36.79136124403495), (17.51392800989444, 44.63072826890646), (73.10841661526942, 53.45957673428678), (84.97850390231676, 36.87739427293126), (65.87722590155151, 63.83363854437504), (51.81142152865398, 70.26672941153684), (34.84052070478909, 76.31), (17.03524197981784, 87.20224880345685), (16.754942274952317, 106.29304513872655), (13.536395634651274, 111.61559883033338), (55.89787118314341, 33.67678104526873), (55.86778666030091, 36.87672978251494), (7.127754874769457, 30.29139007645663)]"
197,"(27.474658187732498, 27.902919967197466)","(40.686242417561516, 60.54675223431492)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (45.86162513698608, 36.825865363588186), (20.421858444794395, 39.412935394590576), (73.36488114688198, 47.471422306333395), (94.72610881388078, 36.70107221819089), (70.94594162896009, 61.40722626304127), (57.266541369025205, 67.7717934168358), (43.31085833277919, 74.15451954506682), (19.694635553897474, 79.70264208851164), (16.776814419824408, 99.99699200768814), (16.737760244355634, 111.23901537477157), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.8758550177772, 36.87677079647557), (7.128086215431458, 30.29138961689954)]"
198,"(24.99426600019162, 27.215449930217407)","(39.46409545705289, 59.88044872310769)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.14935221131925, 36.8374945890437), (27.625097831772596, 36.92374374973885), (76.0332532932444, 40.24302743488428), (73.08717326546397, 56.472591848360004), (62.50747686977269, 65.37481608006816), (49.34035218226797, 71.39688970830518), (27.312403393970996, 76.54108522943272), (16.83752413652741, 91.3090527685028), (16.745173463207937, 109.10506737657272), (13.532571712537484, 112.71579584992956), (55.89787118314341, 33.67678104526873), (55.877351451190584, 36.876778403310205), (7.128221685680397, 30.291389429007378)]"
199,"(25.54228479861063, 28.877898875173138)","(40.00267032733684, 61.44028549314773)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.32090944979854, 36.83836666763524), (35.66762829797771, 36.77404611956047), (81.94529879954938, 37.354204923555685), (73.25497167305423, 48.20873169326124), (67.59176500118342, 63.0494824782999), (54.071550758936525, 69.23304400510878), (35.22053897277208, 76.31), (17.233782962799616, 85.85658214102483), (16.76148372210889, 104.41004285008458), (16.732571712537485, 112.73257131956707), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (7.128221685680397, 30.291389429007378)]"
200,"(27.628008461996302, 27.9563044597261)","(39.68035956049612, 58.224616851539196)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.36597672575606, 36.83859575856075), (39.22296932633631, 36.79211901945045), (88.87935580935077, 36.780873214613045), (75.12828425707652, 41.74337083695208), (72.46367046536824, 59.88968329473925), (59.475313025918595, 66.76159674433086), (42.83067225750788, 74.37413589785203), (20.014637770703153, 79.27286496289996), (16.78879091336181, 97.63828012713479), (16.734669536963068, 112.12869757420306), (13.532907150891317, 112.61928544355555), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (9.084428264215157, 30.368618473164346), (-1.1864607911172795, 30.302921582234557)]"
201,"(25.84033573601241, 27.07048182942925)","(38.821050959070966, 57.701479340673124)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.372422658209814, 36.83862852523236), (40.059663788218444, 36.79637219660772), (80.08632251441159, 37.64643036231787), (73.1043703478024, 54.033472336693265), (64.3980741209487, 64.51013862632391), (49.67587290596485, 71.24343703356752), (29.0803111072222, 76.31), (16.856961247177427, 88.78465802283161), (16.73676736138865, 111.52482382883905), (13.54500185165563, 109.13946725222281), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (13.619119986910556, 30.742151563995925), (0.6524124362723711, 30.300371133930273)]"
202,"(26.328954804753018, 28.65919273939939)","(39.76165222672357, 59.32611915121125)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37578815704498, 36.83864563310557), (40.87524885864334, 33.60041640199254), (88.88193785777615, 36.7808379728238), (73.37765137277195, 47.385755374321526), (70.3999643742615, 61.745641916780066), (55.08864313680635, 68.76786991952704), (37.260584885883915, 76.31), (17.438185423663192, 84.4711876840606), (16.73920742240895, 110.82243483513832), (16.76604260663407, 103.09773537605017), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (19.831757300583345, 32.213773074231085), (4.317038055605361, 30.295288435429118)]"
203,"(24.500970742767215, 27.78807547637783)","(39.0796227628313, 58.717145167054014)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37646403845043, 36.83864906882014), (43.79576647491082, 33.6152622978109), (76.18339404825075, 39.99410986737376), (73.08386782123522, 56.941414021471864), (62.18026987584355, 65.52446641420568), (45.52447155868785, 73.14210854819127), (20.64105048186783, 78.89468494844681), (16.744507386990424, 109.2968021734711), (16.805850354436398, 95.42268521757295), (13.532346569448785, 112.78057273287791), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (27.515901106640925, 33.40886105396805), (6.4577030771055925, 30.292319413207895)]"
204,"(25.269038935577097, 26.798669387058847)","(41.22709871746391, 57.015750919830644)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37675775076757, 36.83865056185084), (47.4186725979346, 33.633678652008705), (83.7869403940767, 37.064704445628095), (73.1593061329964, 48.85048802448241), (67.29811599862413, 63.18378483786885), (53.39164297848808, 69.54400443203915), (28.28555781105098, 76.40206316984987), (16.756859448324473, 105.7411730894559), (16.971699193634837, 87.6329276875861), (13.532346569448785, 112.78057273287791), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (33.55007615092767, 33.56318027978444), (6.968184950981393, 30.29161139396535)]"
205,"(26.33055484580821, 28.13178808389036)","(41.93211754781541, 58.715865763988674)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.232529180380155, 33.63781573714963), (92.90333764277017, 36.72595080560368), (73.68931269539031, 45.29502733509001), (72.13777102115398, 60.35597966986436), (59.297346993102295, 66.84299071441774), (37.03377290850506, 76.31), (16.77741256047432, 99.82481294917808), (19.349471999037124, 80.2733730542237), (16.739465353555154, 110.74818751233815), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (38.9391361897239, 33.5905745414897), (7.114417018859245, 30.291408575563302)]"
206,"(24.25390020490023, 27.01000750326345)","(40.4524198918009, 58.31304067038389)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.364316079116655, 33.63848565078342), (76.16888161396608, 40.01816995579308), (73.09915486405808, 54.77320178109537), (64.46085741172988, 64.48142426318995), (44.849759355509974, 73.45069274267856), (16.827869137770577, 92.56299573204657), (25.682790801422467, 76.77388702836822), (16.752054646873265, 107.12426950719654), (13.534617380477858, 112.12722795965615), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.31151621539635, 36.79765244051882), (7.123206619123958, 30.291396384716887)]"
207,"(25.076361024643052, 28.482428686568717)","(40.73216747308918, 59.77602250861512)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.39303165754226, 33.63863162096463), (82.8577126683485, 37.21077622827097), (73.2456049929577, 48.27156650557548), (69.61994684021127, 62.12187978173931), (53.06137899292872, 69.69505290199713), (17.14924375624195, 86.42957009658232), (33.740278153312374, 76.31), (16.772756201722522, 101.1651790755881), (16.734750594564897, 112.1053645645332), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.71209430522801, 36.799688703048325), (7.128123980095041, 30.291389564521364)]"
208,"(26.349910146497717, 27.325296038785215)","(42.416577316388164, 58.013488513226264)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.39537328440718, 33.63864352417942), (91.89692021276208, 36.73968716725074), (75.20165325531998, 41.62173276091688), (73.08040222805448, 57.43295065427211), (60.04155832399505, 66.50262062330305), (19.931150238630064, 79.323268339976), (41.38577749632793, 75.03496830001929), (16.805433470920484, 95.47682796420203), (16.742258122045037, 109.94426915417876), (13.53556547284023, 111.85444824282546), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.80221899900646, 36.800146834787384), (7.128123980095041, 30.291389564521364)]"
209,"(24.933270891694477, 26.54283042630484)","(41.27616193534591, 57.39555242220602)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.39656568448643, 33.63864958551843), (82.32718283923354, 37.294173909741694), (73.12834177318526, 50.633525169891996), (66.34373280524848, 63.62027845332874), (27.37112052420798, 76.53269706797029), (49.24436237918717, 71.44079129467514), (16.919361551153095, 87.98766059774015), (16.756857550841257, 105.7417192935531), (13.536646779289638, 111.54334093009535), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.84992416674534, 36.80038933493404), (7.128284855677124, 30.291389341392957)]"
