TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates
326,"(26.449701154461085, 21.292023022665273)","(36.09255023843345, 73.5427865496496)"
327,"(26.10419381256623, 22.33414753639926)","(34.667155275714904, 75.5257519717413)"
328,"(26.503464737247526, 23.36415620173335)","(32.8379220897652, 71.69295693709576)"
330,"(24.8240495441794, 22.972432336131646)","(33.58893949586425, 72.36310240319673)"
331,"(24.977441679318805, 23.699901340496538)","(32.40844970525856, 68.97141832542228)"
332,"(24.517792622132514, 22.979052108389496)","(33.44568629968481, 67.67573579969212)"
334,"(24.270788565214495, 23.227169506057642)","(35.25277689736946, 67.9174113442861)"
335,"(25.364541798556818, 22.194864080354023)","(36.63275144547901, 66.76535504482445)"
336,"(26.801747386874723, 23.373006688371863)","(37.01185591227029, 68.18514473416245)"
337,"(25.482629912484253, 22.19037214015772)","(35.034305455829845, 68.99984066497125)"
338,"(26.735487579050133, 22.602047741378357)","(35.99069650458103, 68.36808224096865)"
339,"(23.589961299306605, 23.69731925861986)","(32.63318497829527, 72.03773077272633)"
356,"(26.00127300383609, 23.002155547678836)","(35.3081724270828, 70.442240795819)"
358,"(23.76658934871818, 22.903994117635104)","(32.932593899556906, 71.74825269596282)"
359,"(24.023981610282203, 22.61072281139436)","(33.738122988937526, 70.36016003967526)"
389,"(19.989044840584654, 29.46700540511987)","(26.404403529940883, 66.0881225784391)"
390,"(20.219651272802405, 28.86402766139196)","(25.33226847481718, 66.53390934710188)"
391,"(20.368715650743663, 29.08441512208098)","(24.36061760562538, 65.05902941570072)"
392,"(20.15114073268248, 29.242379511480628)","(24.58915180080276, 64.80983686472305)"
393,"(19.86828695350829, 29.457988365374298)","(25.0075841294714, 64.44630937878179)"
394,"(19.83247821386793, 29.533128113955687)","(25.427131501574294, 64.1702271863205)"
395,"(19.919702752116567, 29.542869303255696)","(25.696473269995533, 63.972980126855205)"
396,"(19.87295904253995, 29.54695591503735)","(25.930267401634758, 63.82947014240916)"
397,"(19.651853733915676, 29.55172237454394)","(26.336652486831934, 63.77646459892126)"
398,"(19.409111929164464, 29.60443421993273)","(26.78583622150814, 63.87437021085023)"
399,"(19.366328027975495, 29.604634434390366)","(27.266950987469368, 63.858491282093226)"
400,"(19.51800235474778, 29.568957150333734)","(27.813098614411274, 63.76311978662169)"
401,"(19.915172761621086, 29.51209115059203)","(28.454153301522798, 63.562097378691156)"
429,"(27.128867660744632, 22.997739588740533)","(35.18595948632316, 70.21304156794835)"
